call_id,call_date,agent_id,handle_time_sec,fcr_flag,escalated_flag,sentiment,queue
53,2024-01-01,7,459,1,0,Positive,Tech Support
54,2024-01-01,9,427,0,0,Neutral,Sales
55,2024-01-01,3,394,1,0,Negative,Billing
56,2024-01-01,11,226,1,0,Negative,Sales
57,2024-01-01,1,558,0,0,Neutral,Tech Support
58,2024-01-01,11,363,1,0,Negative,Tech Support
59,2024-01-01,2,336,1,0,Negative,Sales
60,2024-01-01,2,439,1,0,Positive,Billing
61,2024-01-01,11,397,0,1,Neutral,Billing
62,2024-01-01,14,485,0,0,Positive,Billing
63,2024-01-01,7,281,0,0,Neutral,Billing
64,2024-01-01,15,100,1,0,Positive,Sales
65,2024-01-01,11,181,0,0,Positive,Tech Support
66,2024-01-01,4,338,0,0,Neutral,Tech Support
67,2024-01-01,4,397,1,0,Neutral,Sales
68,2024-01-01,7,548,1,0,Neutral,Billing
69,2024-01-01,6,279,1,0,Neutral,Billing
70,2024-01-01,12,355,1,0,Neutral,Tech Support
71,2024-01-01,17,242,1,0,Positive,Billing
72,2024-01-01,18,406,1,0,Negative,Billing
73,2024-01-01,6,479,0,0,Positive,Sales
74,2024-01-01,7,468,1,0,Neutral,Tech Support
75,2024-01-01,12,272,1,1,Positive,Billing
76,2024-01-01,16,230,1,0,Positive,Sales
77,2024-01-01,2,235,1,0,Positive,Tech Support
78,2024-01-01,2,372,1,1,Neutral,Billing
79,2024-01-01,4,157,0,0,Neutral,Billing
80,2024-01-01,10,511,0,0,Negative,Billing
81,2024-01-01,15,452,1,1,Positive,Sales
82,2024-01-01,6,452,0,0,Neutral,Tech Support
83,2024-01-01,9,292,0,0,Neutral,Sales
84,2024-01-01,16,393,1,0,Positive,Billing
85,2024-01-01,5,539,1,1,Neutral,Sales
86,2024-01-01,4,371,1,0,Positive,Sales
87,2024-01-01,5,452,0,0,Positive,Sales
88,2024-01-01,2,397,1,1,Positive,Tech Support
89,2024-01-01,13,548,1,0,Neutral,Billing
90,2024-01-01,7,316,1,0,Negative,Billing
91,2024-01-01,16,90,0,0,Positive,Billing
92,2024-01-01,14,402,0,0,Neutral,Tech Support
93,2024-01-01,12,299,1,0,Positive,Tech Support
94,2024-01-01,14,185,0,0,Positive,Billing
95,2024-01-01,16,283,1,0,Neutral,Sales
96,2024-01-01,7,253,0,0,Positive,Billing
97,2024-01-01,18,383,1,0,Negative,Billing
98,2024-01-01,14,406,1,0,Neutral,Tech Support
99,2024-01-01,7,233,1,0,Positive,Billing
100,2024-01-01,3,235,1,0,Positive,Sales
101,2024-01-01,5,466,0,1,Positive,Billing
102,2024-01-01,9,222,1,0,Neutral,Billing
103,2024-01-01,2,434,0,0,Neutral,Tech Support
104,2024-01-01,16,311,1,0,Positive,Billing
105,2024-01-01,18,233,1,0,Neutral,Billing
106,2024-01-01,3,376,1,0,Positive,Tech Support
107,2024-01-01,16,312,1,0,Neutral,Billing
108,2024-01-01,5,90,1,0,Neutral,Tech Support
109,2024-01-01,6,340,0,1,Positive,Tech Support
110,2024-01-01,7,187,1,0,Positive,Billing
111,2024-01-01,13,226,1,0,Positive,Tech Support
112,2024-01-01,4,90,1,0,Positive,Tech Support
113,2024-01-01,1,490,1,0,Neutral,Sales
114,2024-01-01,10,356,0,0,Neutral,Sales
115,2024-01-01,15,250,0,0,Neutral,Billing
116,2024-01-01,8,402,1,1,Negative,Tech Support
117,2024-01-01,10,350,1,0,Neutral,Billing
118,2024-01-01,11,305,1,1,Negative,Tech Support
119,2024-01-01,12,246,1,0,Neutral,Sales
120,2024-01-01,1,319,1,0,Neutral,Billing
121,2024-01-01,12,378,1,1,Negative,Tech Support
122,2024-01-01,15,436,1,0,Positive,Tech Support
123,2024-01-01,9,301,0,0,Negative,Billing
124,2024-01-01,8,344,1,0,Neutral,Tech Support
125,2024-01-01,4,407,1,0,Positive,Sales
126,2024-01-01,2,440,1,0,Positive,Tech Support
127,2024-01-01,18,396,1,0,Positive,Tech Support
128,2024-01-01,12,293,1,0,Positive,Billing
129,2024-01-01,14,370,1,0,Positive,Billing
130,2024-01-01,4,341,1,0,Neutral,Billing
131,2024-01-01,12,478,0,0,Neutral,Billing
132,2024-01-01,4,247,1,0,Neutral,Tech Support
133,2024-01-01,15,407,1,0,Negative,Tech Support
134,2024-01-01,14,371,1,0,Positive,Sales
135,2024-01-01,5,325,1,0,Positive,Tech Support
136,2024-01-01,2,375,1,0,Positive,Tech Support
137,2024-01-01,8,285,1,0,Positive,Billing
138,2024-01-01,18,200,1,0,Neutral,Tech Support
139,2024-01-01,16,535,0,0,Positive,Sales
140,2024-01-01,5,479,0,0,Positive,Sales
141,2024-01-01,11,330,0,1,Positive,Billing
142,2024-01-01,11,518,1,1,Positive,Billing
143,2024-01-01,5,452,1,0,Positive,Billing
144,2024-01-01,3,257,1,0,Neutral,Tech Support
145,2024-01-01,8,408,1,0,Positive,Billing
146,2024-01-01,18,346,0,0,Neutral,Tech Support
147,2024-01-01,13,288,0,0,Neutral,Billing
148,2024-01-01,18,312,1,1,Neutral,Tech Support
149,2024-01-01,3,375,1,0,Negative,Tech Support
150,2024-01-01,12,413,1,0,Positive,Billing
151,2024-01-01,15,377,1,0,Neutral,Billing
152,2024-01-01,5,324,1,0,Positive,Tech Support
153,2024-01-01,12,205,0,0,Positive,Sales
154,2024-01-01,7,275,0,0,Positive,Tech Support
155,2024-01-01,13,408,1,0,Positive,Sales
156,2024-01-01,11,328,0,0,Neutral,Sales
157,2024-01-01,4,314,0,0,Positive,Billing
158,2024-01-01,6,295,1,0,Neutral,Billing
159,2024-01-01,17,348,1,0,Positive,Sales
160,2024-01-01,11,222,1,0,Positive,Billing
161,2024-01-01,4,292,1,0,Negative,Sales
162,2024-01-01,17,180,1,0,Negative,Billing
163,2024-01-01,6,536,0,0,Negative,Sales
164,2024-01-01,3,380,1,0,Positive,Sales
165,2024-01-01,5,271,1,0,Positive,Billing
166,2024-01-01,5,352,1,0,Neutral,Billing
167,2024-01-01,2,426,1,0,Positive,Tech Support
168,2024-01-01,18,572,1,1,Positive,Billing
169,2024-01-01,14,447,1,1,Negative,Tech Support
170,2024-01-01,16,217,1,0,Positive,Billing
171,2024-01-01,5,393,0,1,Neutral,Billing
172,2024-01-01,1,469,1,1,Positive,Billing
173,2024-01-01,9,369,1,0,Positive,Billing
174,2024-01-01,2,168,0,0,Neutral,Tech Support
175,2024-01-01,12,196,1,0,Positive,Sales
176,2024-01-01,12,596,1,0,Positive,Tech Support
177,2024-01-01,3,387,1,0,Positive,Billing
178,2024-01-01,16,235,1,0,Positive,Sales
179,2024-01-01,3,209,0,0,Negative,Billing
180,2024-01-01,18,144,0,0,Neutral,Tech Support
181,2024-01-01,3,278,1,0,Neutral,Tech Support
182,2024-01-01,3,259,0,0,Negative,Sales
183,2024-01-01,7,248,0,0,Positive,Sales
184,2024-01-01,9,523,1,1,Positive,Billing
185,2024-01-01,7,547,1,1,Positive,Billing
186,2024-01-01,10,297,0,0,Neutral,Sales
187,2024-01-01,14,92,1,0,Positive,Billing
188,2024-01-01,16,174,1,1,Positive,Sales
189,2024-01-01,18,389,0,0,Positive,Billing
190,2024-01-01,9,492,1,0,Neutral,Billing
191,2024-01-01,16,209,1,0,Neutral,Tech Support
192,2024-01-01,1,291,1,0,Neutral,Tech Support
193,2024-01-01,8,325,1,1,Neutral,Tech Support
194,2024-01-01,2,450,1,0,Neutral,Billing
195,2024-01-01,12,375,1,0,Positive,Sales
196,2024-01-01,10,320,1,0,Positive,Sales
197,2024-01-01,18,219,1,1,Positive,Billing
198,2024-01-01,3,428,1,0,Positive,Billing
199,2024-01-01,6,375,0,0,Positive,Billing
200,2024-01-01,10,218,1,0,Positive,Sales
201,2024-01-01,8,152,1,0,Positive,Tech Support
202,2024-01-01,11,574,1,0,Neutral,Billing
203,2024-01-01,3,129,0,0,Positive,Billing
204,2024-01-01,10,379,1,0,Neutral,Billing
205,2024-01-01,4,254,1,0,Negative,Tech Support
206,2024-01-01,11,255,1,0,Neutral,Tech Support
207,2024-01-01,7,326,0,0,Neutral,Tech Support
208,2024-01-01,1,516,0,0,Positive,Billing
209,2024-01-01,3,387,1,0,Positive,Tech Support
210,2024-01-01,13,285,0,0,Neutral,Sales
211,2024-01-01,13,506,0,0,Positive,Billing
212,2024-01-01,1,202,1,0,Neutral,Sales
213,2024-01-01,2,443,1,0,Negative,Tech Support
214,2024-01-01,10,460,1,0,Neutral,Billing
215,2024-01-01,4,335,1,0,Neutral,Billing
216,2024-01-01,3,361,1,0,Neutral,Tech Support
217,2024-01-01,17,417,1,1,Positive,Tech Support
218,2024-01-01,8,542,1,0,Positive,Billing
219,2024-01-01,7,463,1,0,Positive,Billing
220,2024-01-01,15,282,1,0,Negative,Billing
221,2024-01-01,8,301,1,0,Neutral,Tech Support
222,2024-01-01,16,264,1,0,Positive,Billing
223,2024-01-01,9,200,1,0,Positive,Billing
224,2024-01-01,16,271,1,0,Neutral,Tech Support
225,2024-01-01,12,232,1,1,Negative,Tech Support
226,2024-01-01,13,226,1,0,Positive,Billing
227,2024-01-01,11,398,1,1,Neutral,Tech Support
228,2024-01-01,10,373,1,1,Negative,Billing
229,2024-01-01,10,376,1,0,Neutral,Sales
230,2024-01-01,15,400,1,1,Positive,Tech Support
231,2024-01-01,15,410,1,0,Positive,Billing
232,2024-01-01,2,354,1,0,Positive,Billing
233,2024-01-01,1,404,1,0,Positive,Billing
234,2024-01-01,1,175,1,1,Neutral,Billing
235,2024-01-01,15,342,0,0,Positive,Sales
236,2024-01-01,16,314,1,0,Negative,Tech Support
237,2024-01-01,15,448,1,0,Positive,Tech Support
238,2024-01-01,14,337,0,0,Positive,Sales
239,2024-01-01,11,217,1,0,Positive,Tech Support
240,2024-01-01,8,480,0,0,Neutral,Tech Support
241,2024-01-01,10,295,1,0,Neutral,Tech Support
242,2024-01-01,5,416,1,0,Positive,Tech Support
243,2024-01-01,9,416,1,0,Neutral,Billing
244,2024-01-01,18,414,0,0,Positive,Sales
245,2024-01-01,4,437,1,0,Positive,Billing
246,2024-01-01,4,250,0,0,Positive,Billing
247,2024-01-01,1,198,1,1,Positive,Billing
248,2024-01-01,5,319,1,0,Positive,Billing
249,2024-01-01,9,131,1,0,Positive,Tech Support
250,2024-01-01,17,461,1,1,Positive,Tech Support
251,2024-01-01,10,372,0,0,Positive,Billing
252,2024-01-01,14,309,1,0,Positive,Billing
253,2024-01-01,14,234,1,0,Neutral,Billing
254,2024-01-01,16,161,1,0,Neutral,Sales
255,2024-01-01,9,500,0,1,Neutral,Billing
256,2024-01-01,17,401,1,0,Positive,Tech Support
257,2024-01-01,13,239,0,0,Neutral,Billing
258,2024-01-01,18,244,1,0,Neutral,Tech Support
259,2024-01-01,17,486,1,0,Negative,Billing
260,2024-01-01,8,371,0,0,Positive,Tech Support
261,2024-01-01,13,309,1,0,Neutral,Billing
262,2024-01-01,5,381,0,0,Positive,Billing
263,2024-01-01,3,348,1,0,Positive,Tech Support
264,2024-01-01,11,209,1,1,Neutral,Tech Support
265,2024-01-01,17,515,0,0,Positive,Tech Support
266,2024-01-01,7,450,1,0,Neutral,Billing
267,2024-01-01,11,357,1,0,Positive,Tech Support
268,2024-01-01,7,136,0,0,Negative,Billing
269,2024-01-01,13,417,1,0,Positive,Billing
270,2024-01-01,11,289,1,1,Positive,Tech Support
271,2024-01-01,9,398,1,0,Positive,Billing
272,2024-01-01,17,391,1,0,Neutral,Sales
273,2024-01-01,10,187,1,0,Positive,Billing
274,2024-01-01,10,386,1,0,Neutral,Billing
275,2024-01-01,10,306,0,0,Positive,Billing
276,2024-01-01,7,244,0,0,Positive,Tech Support
277,2024-01-01,18,413,0,0,Positive,Tech Support
278,2024-01-01,4,317,1,0,Positive,Billing
279,2024-01-01,5,477,1,0,Positive,Tech Support
280,2024-01-02,15,395,1,0,Neutral,Billing
281,2024-01-02,14,210,0,0,Positive,Billing
282,2024-01-02,12,358,0,0,Positive,Sales
283,2024-01-02,12,239,1,0,Positive,Billing
284,2024-01-02,4,385,1,1,Positive,Billing
285,2024-01-02,13,339,1,0,Positive,Tech Support
286,2024-01-02,15,470,1,0,Negative,Billing
287,2024-01-02,4,314,1,0,Positive,Tech Support
288,2024-01-02,2,208,1,0,Neutral,Tech Support
289,2024-01-02,11,288,0,0,Positive,Sales
290,2024-01-02,2,252,0,1,Negative,Sales
291,2024-01-02,3,92,1,0,Positive,Billing
292,2024-01-02,6,240,1,1,Neutral,Billing
293,2024-01-02,13,475,1,0,Neutral,Sales
294,2024-01-02,15,176,0,0,Neutral,Billing
295,2024-01-02,12,389,0,0,Positive,Tech Support
296,2024-01-02,10,262,0,0,Positive,Sales
297,2024-01-02,12,401,1,0,Positive,Tech Support
298,2024-01-02,13,354,0,0,Positive,Tech Support
299,2024-01-02,13,302,0,0,Positive,Tech Support
300,2024-01-02,17,159,0,0,Positive,Billing
301,2024-01-02,4,206,1,0,Negative,Tech Support
302,2024-01-02,18,260,1,0,Negative,Billing
303,2024-01-02,1,545,1,0,Neutral,Sales
304,2024-01-02,16,516,0,0,Negative,Tech Support
305,2024-01-02,3,175,1,0,Neutral,Sales
306,2024-01-02,8,345,1,0,Positive,Tech Support
307,2024-01-02,1,171,1,0,Negative,Tech Support
308,2024-01-02,10,296,0,0,Neutral,Tech Support
309,2024-01-02,9,506,1,0,Positive,Sales
310,2024-01-02,1,442,0,0,Neutral,Billing
311,2024-01-02,15,376,1,1,Neutral,Sales
312,2024-01-02,2,139,1,0,Neutral,Billing
313,2024-01-02,6,242,1,0,Negative,Sales
314,2024-01-02,8,218,1,1,Positive,Sales
315,2024-01-02,16,580,0,0,Positive,Tech Support
316,2024-01-02,6,327,1,0,Positive,Sales
317,2024-01-02,15,475,0,0,Neutral,Tech Support
318,2024-01-02,10,379,1,0,Positive,Tech Support
319,2024-01-02,10,322,1,0,Positive,Tech Support
320,2024-01-02,1,270,1,0,Neutral,Billing
321,2024-01-02,16,502,1,0,Neutral,Tech Support
322,2024-01-02,18,326,1,0,Positive,Tech Support
323,2024-01-02,8,389,1,0,Positive,Sales
324,2024-01-02,9,349,1,0,Neutral,Tech Support
325,2024-01-02,9,254,0,0,Neutral,Sales
326,2024-01-02,3,414,0,0,Positive,Sales
327,2024-01-02,11,242,1,1,Positive,Billing
328,2024-01-02,12,357,1,0,Neutral,Sales
329,2024-01-02,17,230,1,0,Positive,Tech Support
330,2024-01-02,11,126,1,0,Negative,Billing
331,2024-01-02,7,457,1,0,Neutral,Billing
332,2024-01-02,13,436,1,0,Negative,Billing
333,2024-01-02,1,352,0,0,Neutral,Sales
334,2024-01-02,18,155,1,0,Positive,Tech Support
335,2024-01-02,3,207,0,0,Positive,Billing
336,2024-01-02,8,374,1,0,Neutral,Tech Support
337,2024-01-02,2,179,1,0,Neutral,Tech Support
338,2024-01-02,1,664,1,0,Positive,Tech Support
339,2024-01-02,8,224,0,0,Neutral,Tech Support
340,2024-01-02,4,284,1,1,Neutral,Billing
341,2024-01-02,17,478,1,0,Neutral,Tech Support
342,2024-01-02,8,442,0,0,Positive,Sales
343,2024-01-02,7,407,1,0,Negative,Sales
344,2024-01-02,5,428,0,0,Positive,Sales
345,2024-01-02,12,449,1,0,Positive,Billing
346,2024-01-02,9,359,1,0,Negative,Sales
347,2024-01-02,10,297,0,0,Positive,Billing
348,2024-01-02,12,326,0,0,Negative,Tech Support
349,2024-01-02,13,373,0,0,Positive,Billing
350,2024-01-02,10,387,1,0,Negative,Billing
351,2024-01-02,13,463,1,0,Negative,Billing
352,2024-01-02,1,408,1,0,Neutral,Tech Support
353,2024-01-02,1,450,0,0,Neutral,Tech Support
354,2024-01-02,1,302,1,0,Positive,Billing
355,2024-01-02,1,271,1,0,Positive,Tech Support
356,2024-01-02,1,270,0,0,Neutral,Sales
357,2024-01-02,13,322,1,0,Positive,Billing
358,2024-01-02,13,188,1,0,Positive,Billing
359,2024-01-02,16,267,0,1,Positive,Tech Support
360,2024-01-02,8,388,0,0,Positive,Tech Support
361,2024-01-02,3,285,1,0,Positive,Billing
362,2024-01-02,10,215,0,0,Positive,Sales
363,2024-01-02,10,197,0,0,Neutral,Tech Support
364,2024-01-02,8,236,1,0,Negative,Billing
365,2024-01-02,13,236,0,0,Neutral,Tech Support
366,2024-01-02,13,514,1,0,Neutral,Sales
367,2024-01-02,11,500,1,0,Neutral,Billing
368,2024-01-02,18,537,1,0,Neutral,Tech Support
369,2024-01-02,8,303,1,0,Positive,Billing
370,2024-01-02,12,233,1,1,Neutral,Billing
371,2024-01-02,1,263,0,0,Positive,Billing
372,2024-01-02,4,197,1,0,Negative,Sales
373,2024-01-02,7,348,1,0,Neutral,Sales
374,2024-01-02,14,254,1,0,Positive,Tech Support
375,2024-01-02,6,435,0,0,Positive,Billing
376,2024-01-02,4,237,0,1,Positive,Tech Support
377,2024-01-02,18,358,1,1,Neutral,Billing
378,2024-01-02,13,90,0,0,Neutral,Sales
379,2024-01-02,1,302,1,0,Negative,Sales
380,2024-01-02,11,328,1,1,Neutral,Billing
381,2024-01-02,7,343,0,0,Positive,Sales
382,2024-01-02,1,281,1,0,Negative,Billing
383,2024-01-02,3,340,0,0,Positive,Tech Support
384,2024-01-02,4,345,1,0,Positive,Tech Support
385,2024-01-02,7,348,0,0,Positive,Tech Support
386,2024-01-02,5,495,1,0,Neutral,Billing
387,2024-01-02,16,304,1,0,Positive,Tech Support
388,2024-01-02,7,435,0,0,Positive,Sales
389,2024-01-02,7,494,1,0,Neutral,Tech Support
390,2024-01-02,16,455,1,0,Positive,Tech Support
391,2024-01-02,7,403,1,1,Positive,Tech Support
392,2024-01-02,13,399,1,1,Neutral,Tech Support
393,2024-01-02,12,484,1,0,Positive,Billing
394,2024-01-02,9,491,1,1,Neutral,Billing
395,2024-01-02,5,284,1,1,Neutral,Tech Support
396,2024-01-02,8,334,1,0,Negative,Billing
397,2024-01-02,2,511,1,0,Positive,Sales
398,2024-01-02,1,393,1,0,Negative,Billing
399,2024-01-02,9,216,1,0,Neutral,Tech Support
400,2024-01-02,4,363,1,0,Positive,Billing
401,2024-01-02,18,431,1,0,Positive,Billing
402,2024-01-02,16,403,0,1,Neutral,Billing
403,2024-01-02,14,355,1,0,Negative,Billing
404,2024-01-02,7,329,1,0,Neutral,Sales
405,2024-01-02,5,313,1,0,Positive,Billing
406,2024-01-02,5,220,1,0,Positive,Billing
407,2024-01-02,11,401,0,0,Neutral,Sales
408,2024-01-02,17,385,0,0,Negative,Tech Support
409,2024-01-02,8,266,0,0,Positive,Tech Support
410,2024-01-02,4,262,1,0,Positive,Sales
411,2024-01-02,5,268,1,0,Neutral,Tech Support
412,2024-01-02,15,309,0,0,Neutral,Billing
413,2024-01-02,18,540,0,1,Positive,Sales
414,2024-01-02,7,360,0,0,Positive,Tech Support
415,2024-01-02,1,404,0,0,Neutral,Billing
416,2024-01-02,7,352,1,0,Neutral,Tech Support
417,2024-01-02,15,361,1,0,Positive,Billing
418,2024-01-02,7,333,1,0,Positive,Sales
419,2024-01-02,4,158,0,0,Positive,Billing
420,2024-01-02,5,466,0,0,Positive,Tech Support
421,2024-01-02,6,418,1,0,Positive,Billing
422,2024-01-02,5,410,1,0,Neutral,Tech Support
423,2024-01-02,12,404,0,0,Positive,Sales
424,2024-01-02,6,464,1,0,Positive,Billing
425,2024-01-02,1,301,1,0,Neutral,Sales
426,2024-01-02,9,428,1,0,Positive,Billing
427,2024-01-02,17,631,1,0,Neutral,Billing
428,2024-01-02,8,517,1,1,Neutral,Sales
429,2024-01-02,16,384,1,1,Negative,Tech Support
430,2024-01-02,1,180,0,0,Positive,Tech Support
431,2024-01-02,7,90,1,0,Neutral,Billing
432,2024-01-02,8,296,1,0,Neutral,Sales
433,2024-01-02,10,414,1,0,Positive,Tech Support
434,2024-01-02,15,306,0,0,Positive,Sales
435,2024-01-02,16,393,1,0,Neutral,Billing
436,2024-01-02,14,413,1,0,Neutral,Sales
437,2024-01-02,3,455,1,0,Negative,Sales
438,2024-01-02,3,499,1,0,Neutral,Tech Support
439,2024-01-02,16,396,1,0,Positive,Tech Support
440,2024-01-02,4,312,0,0,Positive,Billing
441,2024-01-02,12,325,1,0,Neutral,Tech Support
442,2024-01-02,12,264,0,0,Positive,Billing
443,2024-01-02,16,669,0,0,Positive,Billing
444,2024-01-02,12,460,1,0,Negative,Tech Support
445,2024-01-02,3,440,0,0,Negative,Tech Support
446,2024-01-02,1,205,1,1,Negative,Billing
447,2024-01-02,9,218,1,0,Neutral,Tech Support
448,2024-01-02,6,380,1,0,Neutral,Tech Support
449,2024-01-02,4,426,1,0,Negative,Billing
450,2024-01-02,10,428,1,0,Negative,Billing
451,2024-01-02,5,519,1,1,Negative,Tech Support
452,2024-01-02,13,420,1,0,Positive,Sales
453,2024-01-02,7,332,1,0,Positive,Sales
454,2024-01-02,11,343,1,0,Neutral,Billing
455,2024-01-02,6,443,1,0,Positive,Billing
456,2024-01-02,12,490,1,0,Positive,Tech Support
457,2024-01-02,5,506,1,0,Neutral,Sales
458,2024-01-02,16,430,1,0,Positive,Billing
459,2024-01-02,9,594,1,1,Neutral,Tech Support
460,2024-01-02,16,303,1,1,Neutral,Billing
461,2024-01-02,6,397,0,0,Neutral,Billing
462,2024-01-02,4,273,0,0,Positive,Billing
463,2024-01-02,4,328,1,0,Positive,Sales
464,2024-01-02,16,553,1,0,Positive,Billing
465,2024-01-02,14,222,1,0,Positive,Billing
466,2024-01-02,4,343,1,0,Neutral,Tech Support
467,2024-01-02,13,334,1,0,Neutral,Tech Support
468,2024-01-02,1,375,1,0,Positive,Tech Support
469,2024-01-02,3,424,0,0,Neutral,Tech Support
470,2024-01-02,15,265,1,0,Positive,Tech Support
471,2024-01-02,13,293,0,0,Positive,Tech Support
472,2024-01-02,17,279,0,0,Positive,Tech Support
473,2024-01-02,12,235,1,0,Positive,Tech Support
474,2024-01-02,2,337,1,0,Positive,Billing
475,2024-01-02,3,283,1,0,Neutral,Tech Support
476,2024-01-02,14,293,1,0,Positive,Tech Support
477,2024-01-02,12,235,1,1,Positive,Billing
478,2024-01-02,2,199,1,0,Negative,Billing
479,2024-01-02,18,216,1,0,Positive,Tech Support
480,2024-01-02,17,216,1,1,Neutral,Sales
481,2024-01-02,18,240,1,0,Neutral,Billing
482,2024-01-02,9,190,1,0,Neutral,Tech Support
483,2024-01-02,18,222,1,0,Negative,Sales
484,2024-01-02,9,533,0,0,Neutral,Tech Support
485,2024-01-02,8,210,1,0,Positive,Tech Support
486,2024-01-02,17,409,0,0,Neutral,Billing
487,2024-01-02,13,662,1,0,Negative,Tech Support
488,2024-01-02,6,485,1,0,Neutral,Tech Support
489,2024-01-02,15,415,1,0,Positive,Billing
490,2024-01-02,10,316,1,0,Neutral,Sales
491,2024-01-02,5,585,0,0,Positive,Tech Support
492,2024-01-02,2,341,0,0,Positive,Sales
493,2024-01-02,9,362,1,1,Negative,Billing
494,2024-01-02,4,165,0,0,Positive,Billing
495,2024-01-02,8,377,0,0,Negative,Tech Support
496,2024-01-02,10,405,1,0,Positive,Sales
497,2024-01-02,6,157,1,0,Neutral,Tech Support
498,2024-01-02,16,376,0,0,Neutral,Sales
499,2024-01-02,9,399,1,0,Neutral,Tech Support
500,2024-01-02,7,386,1,0,Positive,Tech Support
501,2024-01-02,12,209,1,0,Positive,Tech Support
502,2024-01-02,1,303,0,0,Neutral,Billing
503,2024-01-03,12,491,1,0,Positive,Sales
504,2024-01-03,5,422,0,0,Neutral,Billing
505,2024-01-03,7,203,0,0,Neutral,Billing
506,2024-01-03,9,377,0,0,Positive,Billing
507,2024-01-03,8,144,1,0,Neutral,Sales
508,2024-01-03,2,410,1,0,Neutral,Billing
509,2024-01-03,17,488,1,1,Neutral,Tech Support
510,2024-01-03,3,599,1,0,Positive,Tech Support
511,2024-01-03,5,293,1,0,Neutral,Billing
512,2024-01-03,5,342,1,0,Neutral,Tech Support
513,2024-01-03,9,332,1,1,Neutral,Billing
514,2024-01-03,16,249,1,0,Neutral,Tech Support
515,2024-01-03,15,245,1,0,Neutral,Tech Support
516,2024-01-03,8,402,1,1,Positive,Billing
517,2024-01-03,10,280,1,0,Positive,Tech Support
518,2024-01-03,3,333,1,0,Positive,Tech Support
519,2024-01-03,12,286,1,0,Positive,Tech Support
520,2024-01-03,10,280,0,1,Neutral,Tech Support
521,2024-01-03,6,231,0,0,Positive,Tech Support
522,2024-01-03,11,295,1,0,Positive,Billing
523,2024-01-03,16,452,1,0,Positive,Tech Support
524,2024-01-03,12,494,1,0,Neutral,Tech Support
525,2024-01-03,2,563,1,0,Negative,Billing
526,2024-01-03,14,167,1,0,Neutral,Billing
527,2024-01-03,18,207,1,0,Positive,Tech Support
528,2024-01-03,11,436,1,0,Neutral,Billing
529,2024-01-03,7,410,1,0,Positive,Tech Support
530,2024-01-03,1,269,1,1,Negative,Billing
531,2024-01-03,11,418,1,0,Positive,Billing
532,2024-01-03,11,351,1,0,Positive,Tech Support
